Year,Albania,Belgium,Czechoslovakia,Danzig,Denmark,Estonia,Finland,France,Germany,Austria,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Soviet Union,Spain,Sweden,Switzerland,Turkey,United Kingdom,Yugoslavia,Austria-Hungary
1913,0,7405,0,0,6478,0,0,9675,34329,0,22817,0,0,265542,0,0,0,6902,8587,0,14171,2156,291040,6167,17202,4104,15881,88204,0,254825
1914,0,5763,0,0,6262,0,0,9296,35734,0,35832,0,0,283733,0,0,0,6321,8329,0,10808,4032,255660,7591,14800,4211,17388,73417,0,278152
1915,0,2399,0,0,3312,0,0,4811,7799,0,12592,0,0,49688,0,0,0,3144,7986,0,4907,481,26187,2762,6585,1742,2411,41422,0,18511
1916,0,986,0,0,3322,0,0,4156,2877,0,27034,0,0,33665,0,0,0,2910,5191,0,12259,90,7842,5769,6248,663,1077,24702,0,5191
1917,0,398,0,0,2744,0,0,3187,1857,0,23974,0,0,34596,0,0,0,2235,4659,0,9975,66,12716,10232,6368,911,303,16141,0,1258
1918,0,73,0,0,1630,0,0,1798,447,0,1910,0,0,5250,0,0,0,944,2578,0,2224,59,4242,4295,2298,331,34,2847,0,61
1919,0,268,0,0,1352,0,0,3379,52,0,386,0,0,1884,0,0,0,1098,1995,0,1222,19,1403,1573,2243,381,32,7271,0,53
1920,0,6574,3426,0,3137,0,756,8945,1001,268,11981,84,0,95145,0,0,0,5187,4445,4813,15472,1890,995,18821,5862,3785,1933,48062,0,0
1921,0,6166,40884,0,6260,0,3795,9552,6803,4947,28502,7702,0,222260,0,0,0,6493,7423,95089,19195,25817,6398,23818,9171,7106,6391,79677,0,0
1922,0,1541,12541,0,2709,0,2767,4220,17931,5019,3457,5756,0,40319,0,0,0,1990,5292,28635,1950,10287,17143,665,6624,3398,1600,35732,0,0
1923,288,1563,14257,263,5226,241,3921,5034,49258,7358,3294,5638,0,42057,1513,2460,92,3607,12202,29730,2465,7419,24405,912,19867,3752,2388,77342,6426,0
1924,288,1563,14357,301,5619,1224,3921,5729,67607,7342,3063,5747,0,42057,1540,2629,92,3607,12202,30977,2465,7419,24405,912,20042,3752,2654,77342,6426,0
1925,67,505,2556,212,2523,113,466,3481,45760,761,95,357,28567,2662,127,332,98,1500,6118,4873,474,595,2141,127,8961,1869,96,30461,489,0
1926,98,507,3159,223,2712,116,468,3838,51036,763,96,471,27590,3808,137,341,95,1640,6291,6386,493,601,2158,126,9233,1910,86,31182,589,0
1927,99,516,3168,241,2621,126,456,3942,49792,3889,96,465,29997,3826,136,341,99,1566,6123,5972,459,597,2147,128,8966,1993,97,31090,654,0
1928,100,514,2948,211,2558,122,485,3683,47883,786,103,468,27093,3826,148,347,93,1588,5944,6129,498,603,2231,134,8605,1874,100,32053,665,0
1929,85,512,2999,214,2704,124,470,3689,48975,764,100,470,19343,3795,141,347,100,1577,6068,5697,506,591,2071,126,9176,2020,100,32007,681,0
1930,110,1118,2898,112,1144,112,559,2812,27119,1417,362,864,19692,5610,202,398,96,2788,2546,6456,433,670,2231,332,3204,1605,65,50275,909,0
1931,81,524,1448,52,516,71,300,1226,10100,524,308,624,6780,4245,138,305,41,1142,1156,2841,433,497,1537,263,1247,797,20,12934,428,0
1932,102,187,304,6,209,15,69,288,2086,187,141,329,452,2912,43,181,7,185,260,917,201,318,528,191,290,132,33,2099,57,0
1933,75,59,171,10,123,17,72,257,1324,121,108,187,282,1109,29,96,4,128,141,961,69,236,309,164,105,122,34,1171,34,0
1934,57,104,389,8,101,36,114,308,3515,229,200,209,322,1362,48,124,2,136,155,1138,166,199,407,228,153,133,39,1566,144,0
1935,74,173,610,13,146,28,105,413,4891,641,324,399,301,2127,49,190,12,244,208,1682,303,295,357,252,160,192,55,1679,135,0
1936,107,185,766,16,135,34,646,464,6073,569,347,515,367,2467,60,151,5,245,197,1250,275,282,391,250,154,189,72,1638,102,0
1937,98,211,1519,41,192,30,566,566,11127,409,370,730,447,2905,114,221,10,347,330,1856,236,371,578,244,303,312,48,2107,125,0
1938,106,278,2853,89,323,40,720,720,17868,0,351,962,1100,3428,154,397,18,331,518,4218,323,407,917,264,364,427,63,2636,145,0
1939,97,307,2716,177,282,107,461,817,32759,0,381,1087,1418,4155,223,305,24,637,465,6512,404,499,1727,253,324,605,43,2828,850,0
1940,88,441,1979,100,255,98,282,741,26083,0,346,966,966,3905,184,294,24,1093,456,4354,417,469,1614,225,411,617,56,2638,651,0
1941,7,1171,1787,40,318,63,355,1823,13051,0,232,331,331,674,171,232,85,1103,448,4406,315,286,1584,265,285,759,105,3956,238,0
1942,1,415,568,13,106,27,58,1058,4883,0,199,284,161,59,105,126,97,213,100,2203,143,282,724,175,111,235,45,1306,107,0
1943,3,203,362,6,131,18,99,492,1276,0,301,163,196,67,62,117,23,192,102,1533,261,220,391,255,94,121,38,1377,90,0
