Year,Ministers and Professors,Ministers,Professors,Students
1925,1736,0,0,1462
1926,1551,0,0,1920
1927,1853,0,0,1833
1928,1404,0,0,1816
1929,1252,0,0,1898
1930,1340,0,0,1902
1931,0,0,0,0
1932,0,0,0,0
1933,0,302,78,877
1934,0,362,113,1048
1935,0,361,97,1377
1936,0,455,82,1515
1937,0,440,106,1828
1938,0,455,109,2451
1939,0,705,447,2182
1940,0,630,449,2044
1941,0,404,245,1766
1942,0,136,54,1368
1943,0,115,39,1021
1944,0,135,17,1643
1945,0,210,20,2866
1946,0,432,102,5855
1947,0,1336,534,11003
1948,0,1592,997,11914
1949,0,1233,869,10481
