Year,Albania,Belgium,Czechoslovakia,Danzig,Denmark,Estonia,Finland,France,Germany,Austria,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Soviet Union,Spain,Sweden,Switzerland,Turkey,United Kingdom,Yugoslavia,Austria-Hungary
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,288,1553,14357,301,5619,1348,3921,5729,67607,7451,3294,5638,0,42057,1540,2460,92,3607,12202,31146,2465,7419,24405,912,20042,3752,2388,77342,6426,0
1923,100,1553,14357,301,5619,1348,3921,5729,67607,7451,3294,5638,0,42057,1540,2460,92,3607,12202,31146,2465,7419,24405,912,20042,3752,2388,77342,6426,0
1924,100,1553,14357,301,5619,1348,3921,5729,67607,7451,3294,5638,0,42057,1540,2460,92,3607,12202,31146,2465,7419,24405,912,20042,3752,2388,77342,6426,0
1925,100,512,3073,228,2789,124,471,3954,51227,785,100,473,28567,3845,142,344,100,1648,6453,5982,503,603,2248,131,9561,2081,100,34007,671,0
1926,100,512,3073,228,2789,124,471,3954,51227,785,100,473,28567,3845,142,344,100,1648,6453,5982,503,603,2248,131,9561,2081,100,34007,671,0
1927,100,512,3073,228,2789,124,471,3954,51227,785,100,473,28567,3845,142,344,100,1648,6453,5982,503,603,2248,131,9561,2081,100,34007,671,0
1928,100,512,3073,228,2789,124,471,3954,51227,785,100,473,28567,3845,142,344,100,1648,6453,5982,503,603,2248,131,9561,2081,100,34007,671,0
1929,100,512,3073,228,2789,124,471,3954,51227,785,100,473,28567,3845,142,344,100,1648,6453,5982,503,603,2248,131,9561,2081,100,34007,671,0
1930,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1931,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1932,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1933,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1934,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1935,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1936,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1937,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1938,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1939,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1940,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1941,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1942,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1943,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1944,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1945,100,1304,2874,100,1181,116,569,3086,27370,0,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1946,100,1304,2874,100,1181,116,569,3086,25957,1413,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1947,100,1304,2874,100,1181,116,569,3086,25957,1413,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1948,100,1304,2874,100,1181,116,569,3086,25957,1413,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
1949,100,1304,2874,100,1181,116,569,3086,25957,1413,307,869,17853,5802,236,386,100,3153,2377,6524,440,377,2712,252,3314,1707,226,65721,845,0
